date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-09-01,16.3,10,22.3,0,,358,9,28,1019.1,
2020-09-02,17.2,10.5,22.7,0,,353,8,26,1019.6,
2020-09-03,21.8,15.6,28.1,0,,220,10.6,35,1020.8,
2020-09-04,22.7,16.8,29.8,0,,243,10.6,31,1021.6,
2020-09-05,17.7,15.8,21.7,0,,327,14.5,33,1021.4,
2020-09-06,14.9,10.3,20.2,0,,294,8.1,28,1021.9,
2020-09-07,16.9,9.9,23.7,0,,326,7.1,22,1024.8,
2020-09-08,19.7,12.2,26.9,0,,270,6.6,28,1026.8,
2020-09-09,22.6,17.3,28.3,0,,325,10.4,30,1023.6,
2020-09-10,21.1,16.2,27.1,0,,7,9.8,31.5,1020.8,
2020-09-11,20.9,15.3,27.5,0,,353,6.9,25.9,1016.9,
2020-09-12,17.9,13,23.7,0,,334,9.7,30,1021,
2020-09-13,19.7,10.9,28.7,0,,74,4.5,26,1025,
2020-09-14,23,13,34.4,0,,82,4,26,1021.3,
2020-09-15,25.1,16.1,34.3,0,,191,5.8,26,1018.4,
2020-09-16,24.4,16.6,31.5,0,,327,9.1,39,1019.2,
2020-09-17,21.2,17.3,26.4,0,,35,23.5,46,1021.9,
2020-09-18,21.4,13.9,28.2,0,,47,16.5,41,1017.4,
2020-09-19,23.3,20.8,29.4,2.2,,128,11.3,33,1013,
2020-09-20,21.9,16.7,28.6,0,,227,5.7,26,1014.3,
2020-09-21,20.3,14,26.9,0,,350,9.4,26,1015.2,
2020-09-22,18.8,10.6,26.6,0,,248,7.9,24,1011.7,
2020-09-23,18.1,15.2,24,6.4,,215,14.9,55,1006.6,
2020-09-24,13.4,10.6,17.9,8.3,,215,17.6,57,1003.9,
2020-09-25,11.2,9.5,14.2,2.6,,262,23.5,74,1002.7,
2020-09-26,11.4,8.4,15.9,5.8,,295,22.7,52,1008.9,
2020-09-27,12.1,10,14.1,9.2,,313,28.5,67,1006,
2020-09-28,13.2,12.1,15.9,1.9,,304,15.5,37,1012.4,
2020-09-29,15.2,11.8,17.7,2.2,,236,8.9,26,1018,
2020-09-30,16.4,14.5,19.3,4.4,,196,10.4,30,1014,
2020-10-01,14.1,13.2,17.8,15,,206,15.3,48,1002.5,
2020-10-02,12.5,10.7,14.9,12.1,,168,13,46,988.1,
2020-10-03,11.7,8.7,14.4,0.8,,176,10.7,51.8,988.5,
2020-10-04,11.4,8.6,15.6,7.4,,212,22.1,50,993.1,
